gk_player_id,gk_name,gk_team,league,matches,xGA_pm,goals_conc_pm,saves_pm,save_pct,goals_prevented_pm,clean_sheet_pct,home_matches,home_save_pct,home_gp_pm,away_matches,away_save_pct,away_gp_pm,vs_hard_matches,vs_hard_save_pct,vs_hard_gp_pm,vs_easy_matches,vs_easy_save_pct,vs_easy_gp_pm,win_save_pct,draw_save_pct,loss_save_pct,ha_save_delta,adversity_index,consistency_cv,best_zone,zone_gp_six_yard,zone_gp_pen_area,zone_gp_outside_box,clinical_per_sot,loss_resilience
2225,Gerónimo Rulli,Marseille,Ligue_1,27,1.374,1.1481,2.5556,64.5,0.2259,25.9,14,66.1,0.1436,13,62.2,0.3145,7,71.8,1.0861,7,77.8,0.1674,72.1,50.0,64.3,3.9,0.919,4.535,six_yard,4.9,-1.129,2.325,0.057,64.3
2261,Jan Oblak,Atletico Madrid,La_Liga,28,1.2972,1.0714,2.25,64.9,0.2258,35.7,15,51.4,-0.0506,13,72.6,0.5448,7,69.0,0.6854,7,66.7,-0.1437,62.8,76.2,60.6,-21.2,0.829,3.771,pen_area,2.454,6.251,-2.379,0.0652,60.6
2310,Alphonse Areola,West Ham,EPL,20,2.1113,1.8,3.55,61.7,0.3113,0.0,10,56.9,-0.0361,10,65.6,0.6587,5,59.0,1.028,5,70.0,-0.4282,73.7,71.0,53.8,-8.7,1.456,2.72,pen_area,3.077,3.527,-0.38,0.0541,53.8
2346,Aarón,Real Oviedo,La_Liga,34,1.7754,1.6176,4.0588,67.6,0.1578,26.5,17,72.1,0.3859,17,64.4,-0.0704,9,64.0,0.6427,9,83.3,0.3594,95.0,71.9,60.8,7.7,0.283,6.399,pen_area,3.017,4.017,-1.668,0.0263,60.8
2385,Mat Ryan,Levante,La_Liga,33,1.8045,1.5152,3.3333,64.0,0.2893,24.2,17,61.0,0.1991,16,66.3,0.3852,9,57.7,0.5676,8,66.7,-0.189,73.1,77.3,55.9,-5.3,0.757,3.35,pen_area,3.389,9.146,-2.986,0.0555,55.9
2415,David Soria,Getafe,La_Liga,34,1.3694,1.0,3.0294,71.0,0.3694,29.4,17,75.8,0.2289,17,67.5,0.5098,9,70.2,1.243,9,77.3,0.0382,87.8,70.6,60.8,8.3,1.205,2.784,pen_area,5.847,8.473,-1.762,0.0866,60.8
2555,Remiro,Real Sociedad,La_Liga,34,1.5568,1.4706,2.5588,59.2,0.0862,8.8,17,57.6,-0.0484,17,60.5,0.2208,9,60.6,0.774,9,61.9,-0.207,72.7,52.8,53.7,-2.9,0.981,9.765,outside_box,-0.347,0.777,2.504,0.0199,53.7
2619,Stole Dimitrievski,Valencia,La_Liga,16,1.3736,1.1875,2.5,66.7,0.1861,25.0,8,58.1,-0.2972,8,75.9,0.6695,4,71.4,0.6935,4,83.3,0.1482,78.9,77.8,56.2,-17.8,0.545,4.27,pen_area,0.593,2.5,-0.113,0.0496,56.2
2639,Alexander Nübel,VfB Stuttgart,Bundesliga,32,1.6037,1.4062,3.0625,64.5,0.1974,34.4,16,69.4,0.2851,16,61.1,0.1098,8,53.4,0.3715,8,76.2,0.0039,79.1,52.6,53.2,8.3,0.368,4.496,pen_area,1.86,2.567,1.896,0.0416,53.2
3269,Anthony Lopes,Nantes,Ligue_1,31,1.6464,1.6129,3.129,63.8,0.0335,19.4,15,58.0,-0.0909,16,68.7,0.15,8,61.7,0.4586,8,60.0,-0.217,91.7,76.0,58.3,-10.7,0.676,30.281,six_yard,5.636,-1.972,-2.627,0.0068,58.3
