team,league,n_players,total_team_minutes,team_avg_xG_p90,team_avg_xA_p90,team_avg_shots_p90,team_avg_key_passes_p90,team_avg_xGChain_p90,team_avg_xGBuildup_p90,team_win_rate,team_draw_rate,xG_herfindahl,xA_herfindahl,home_away_xG_multiplier,vs_top_win_rate,xG_contributors_5pct,team_buildup_ratio,primary_gk_id,primary_gk_name,gk_matches,gk_save_pct,gk_goals_prevented,gk_xGA,gk_goals_conceded,gk_clean_sheets,gk_clean_sheet_pct,gk_adversity_index,gk_ha_save_delta,gk_consistency_cv,gk_best_zone,gk_loss_resilience,gk_depth,total_gk_matches,gk_goals_prevented_per90
Brentford,Premier League,28,40618,0.1551,0.1118,1.0325,0.7799,0.4413,0.2531,0.3704,0.2716,0.1602,0.1046,1.4408,0.1818,4,0.5735,,,,,,,,,,,,,,,,,
Brest,Ligue 1,29,32465,0.1402,0.0894,1.0812,0.7956,0.2961,0.1685,0.4412,0.1471,0.1202,0.0926,1.1661,0.2,8,0.569,,,,,,,,,,,,,,,,,
"Brest,Lyon",Ligue 1,1,1177,0.2594,0.1806,2.294,1.2234,0.5031,0.0933,0.3103,0.1379,1.0,1.0,0.0,0.2,1,0.1854,,,,,,,,,,,,,,,,,
Brighton,Premier League,30,38283,0.1529,0.1063,1.2107,0.9098,0.5053,0.3296,0.3906,0.3281,0.0966,0.0681,1.1158,0.4,6,0.6524,,,,,,,,,,,,,,,,,
"Brighton,Ipswich",Premier League,1,1168,0.2111,0.1716,4.0068,1.387,0.4801,0.2147,0.36,0.36,1.0,1.0,0.0,0.1667,1,0.4473,,,,,,,,,,,,,,,,,
"Brighton,West Ham",Premier League,1,341,0.391,0.2093,3.1672,1.3196,0.577,0.0214,0.2857,0.4286,1.0,1.0,0.0,0.3333,1,0.037,,,,,,,,,,,,,,,,,
Cagliari,Serie A,25,34649,0.1279,0.0968,1.0883,0.7792,0.3404,0.1894,0.2368,0.2368,0.164,0.0822,1.3793,0.0,7,0.5563,,,,,,,,,,,,,,,,,
"Cagliari,Napoli",Serie A,2,3205,0.0,0.0,0.0,0.0,0.0518,0.0518,0.3333,0.25,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,,,,,
Celta Vigo,La Liga,28,37775,0.147,0.1025,1.0983,0.8101,0.4858,0.3118,0.4314,0.1961,0.1007,0.0701,0.968,0.125,7,0.6418,,,,,,,,,,,,,,,,,
"Celta Vigo,Real Betis",La Liga,1,670,0.2304,0.1283,1.0746,1.4776,0.5194,0.1953,0.1364,0.2727,1.0,1.0,0.0,0.0,1,0.3761,,,,,,,,,,,,,,,,,
"Celta Vigo,Real Valladolid",La Liga,1,589,0.0054,0.0,0.1528,0.0,0.2763,0.2763,0.3333,0.0,1.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,,,,,,,
Chelsea,Premier League,27,39009,0.178,0.1288,1.4627,1.0844,0.5322,0.3128,0.3735,0.1928,0.1212,0.1093,1.2311,0.3333,7,0.5878,,,,,,,,,,,,,,,,,
"Chelsea,Crystal Palace",Premier League,1,1983,0.1157,0.0977,0.8169,0.3631,0.2774,0.2508,0.2,0.28,1.0,1.0,0.0,0.0833,1,0.904,,,,,,,,,,,,,,,,,
Como,Serie A,32,32784,0.1125,0.0936,1.2491,0.9663,0.3331,0.2028,0.3617,0.234,0.1314,0.0937,1.354,0.3333,5,0.6089,,,,,,,,,,,,,,,,,
"Como,Fiorentina",Serie A,1,831,0.3713,0.0538,2.7076,0.4332,0.6672,0.3082,0.3704,0.2593,1.0,1.0,0.0,0.0,1,0.4619,,,,,,,,,,,,,,,,,
"Como,Lecce",Serie A,1,325,0.0,0.1154,0.0,0.5538,0.1995,0.1139,0.2,0.4,0.0,1.0,0.0,1.0,0,0.5707,,,,,,,,,,,,,,,,,
"Como,Torino",Serie A,1,1836,0.0334,0.1665,0.4412,1.1765,0.408,0.2545,0.2857,0.3214,1.0,1.0,0.0,0.0,1,0.6238,,,,,,,,,,,,,,,,,
Crystal Palace,Premier League,25,36290,0.1635,0.1284,1.2326,0.9176,0.4284,0.2363,0.3421,0.3684,0.1404,0.1081,1.0595,0.25,5,0.5515,,,,,,,,,,,,,,,,,
"Crystal Palace,Fulham",Premier League,1,2678,0.0298,0.0094,0.6721,0.1344,0.3587,0.351,0.5,0.1,1.0,1.0,0.0,0.4286,1,0.9786,,,,,,,,,,,,,,,,,
"Crystal Palace,Leicester",Premier League,2,1819,0.2309,0.0996,1.8802,0.9401,0.3182,0.1427,0.375,0.1562,0.8702,0.9003,0.0,0.1667,2,0.4485,,,,,,,,,,,,,,,,,
Eintracht Frankfurt,Bundesliga,25,32778,0.1896,0.1233,1.1697,0.8896,0.5778,0.3529,0.5319,0.234,0.1436,0.0937,1.2384,0.4,4,0.6107,3286.0,Kevin Trapp,26.0,65.9,8.672,42.672,34.0,6.0,23.1,1.03,0.1,2.87,pen_area,63.0,2.0,34.0,0.334
Empoli,Serie A,30,36059,0.0881,0.0633,0.8711,0.624,0.2398,0.1351,0.1579,0.3421,0.117,0.1186,0.7038,0.0,5,0.5634,,,,,,,,,,,,,,,,,
"Empoli,Fiorentina",Serie A,1,1100,0.2748,0.2162,2.0455,1.4727,0.4628,0.1073,0.3077,0.3077,1.0,1.0,0.0,0.0,1,0.2319,,,,,,,,,,,,,,,,,
"Empoli,Torino",Serie A,1,1853,0.0189,0.02,0.2914,0.2428,0.1772,0.1461,0.2903,0.3548,1.0,1.0,0.0,0.0,1,0.8245,,,,,,,,,,,,,,,,,
Espanyol,La Liga,26,37345,0.1044,0.0689,0.9061,0.641,0.2315,0.1207,0.3333,0.2222,0.1235,0.0807,1.0016,0.1111,7,0.5214,,,,,,,,,,,,,,,,,
